message,harm_type,harm_note
nothing worse than adult softball while you got bets going and you keep having to go to the field,addiction_normalization,Normalizes prioritizing gambling over real-life activities and being preoccupied with bets during other commitments
run it back pussies is what biev would say,persuasion,"Encourages chasing losses with vulgar peer pressure framing, even if attributed to another person"
HAWKS NUTS IN UR MOUTH,toxic,"Vulgar, sexually crude insult directed at chat/streamer"
get involved,persuasion,Encouraging others to participate in betting with pressure language.
my 4 year old daughter screams that shit all day ahahahahha,,
they are dog shit,toxic,"Crude, vulgar language to describe a team."
they're ass,toxic,Vulgar dismissive language about a team.
Buxton is so shit,toxic,Crude insult directed at a specific player.
cocaine ragans,toxic,Casual drug reference associating a player with cocaine use.
"trent we got to get rid of the highlighter bruce bolts, what are we  a 12 u travel ball squad?",toxic,Mocking/insulting the streamer's equipment choices by comparing to youth players.
All these accessories and no game knowledge,toxic,Insulting the streamer's competence and knowledge of the game.
I saw some kid get drilled by a 100 mph missle in slowpitch someone thought he died,toxic,"Graphic description of violence/injury involving a child, potentially disturbing content."
its hard to take rav serious,toxic,Dismissive comment undermining the streamer's credibility
rav literally says the most obvious stuff,toxic,Condescending remark mocking the streamer's analysis
suns wolves clippers ML and your bezosssss,persuasion,"Implies betting these picks will make you rich like Bezos, encouraging reckless gambling"
no way yaylads was hating and we letting RavGPT slide lmao,toxic,Amplifies and encourages the mocking nickname for the streamer
fuck was that,toxic,"Mild profanity expressing frustration, low-level toxic language in chat."
Bobby is shit lol,toxic,Crude insult directed at a player using vulgar language.
right down cock meat lane,toxic,Vulgar sexual language in chat.
Bobby shit jr investors in moose,toxic,Crude insult toward a player using vulgar language.
god bless Bobby is moose shit,toxic,Vulgar insult directed at a player.
MJ > lebum,toxic,Derogatory nickname ('lebum') used to insult a player.
yolo trent,addiction_normalization,Encouraging reckless betting behavior with 'yolo' mentality.
fuckkkk,toxic,"Mild expletive expressing frustration, borderline toxic language in chat"
boy got the dick out,toxic,Crude sexual reference inappropriate for the context.
Plz take Illinois trent begging you,persuasion,Pressuring the streamer to make a specific betting pick.
under is free,persuasion,Framing a bet as a guaranteed win ('free money') normalizes reckless gambling behavior.
bookiej record  2-867,toxic,Mocking the streamer's betting record with an exaggerated losing stat to ridicule them.
can't wait for okc and SGA to sell you all,toxic,"Antagonistic comment hoping others lose their bets, expressing schadenfreude toward the community."
fuck that,toxic,Mild profanity expressing frustration/negativity
hope she sauce you the sloppiest of tops Jovan,toxic,Sexually explicit/crude comment directed at another user
my daughter is 7 snowman her jokes were awfullllll,,
Fuck lab city this,toxic,Aggressive language expressing hostility toward a group/team
asks for subs and instantly shows cheeks,toxic,Sexualizing and objectifying women appearing on stream
Nip slip reaper,toxic,Sexualizing/objectifying comment about a person's body
woahh milk jugs,toxic,Crude sexual objectification of a person's body
"no baddies on a thursday afternoon, sad",toxic,"Objectifying women, treating stream value based on attractive women present"
That's what you fcking get for not running the damn ball,toxic,"Aggressive outburst with profanity expressing frustration, contributing to toxic chat environment"
Start throwing it to people I got numbnutz,toxic,Mildly insulting language ('numbnutz') directed at players or stream context
Fukkkin dumb,toxic,"Mild toxic outburst expressing frustration, though not directed at a specific user."
What a fukkkin joke,toxic,Repeated toxic frustration expression in chat.
Fck Terry,toxic,Mild profane insult directed at a player
sims are trash,toxic,Dismissive/negative commentary that contributes to toxic chat environment
Gambling sucks dude,addiction_normalization,Expresses frustration with gambling in a way that normalizes negative gambling experiences
These guys greedy as fck,toxic,Mild insult/aggression directed at other users or streamers calling them greedy.
I think most of us have drank before 21,addiction_normalization,Normalizes underage drinking behavior in a gambling context
"once you hit 21, you stop caring",addiction_normalization,Normalizes reckless behavior and apathy toward consequences once of legal age
does it do butt stuff too?,toxic,Crude sexual comment that contributes to inappropriate chat environment
betsky go on that field and see if u can find cam skatteboos brain matter,toxic,Graphic reference to violence/injury mocking a player's head trauma
need him to dunk in someone's mouth tn,toxic,"Crude, aggressive language describing violent dominance over another person"
we doin bumps??,addiction_normalization,"Reference to 'bumps' suggests drug use, normalizing substance use alongside gambling activity."
I need a bump so bad rn,addiction_normalization,"Expresses urgent craving for 'bump' (drug reference), normalizing substance dependency in gambling context."
"Funny enough, studies say gamblers are addicted to losing, not winning, because of xyz chemicals released in your brain",addiction_normalization,"Casually discusses gambling addiction as an interesting fact rather than a serious concern, potentially normalizing addictive behavior."
shoutout to BookOfChew for shipping his whole bankroll on a KBO NRFI Lay,addiction_normalization,"Celebrates someone betting their entire bankroll, normalizing reckless all-in gambling behavior."
FOLLOW ME FOR DAILY LIVE SPORTS BETTING STREAMS!!!,persuasion,Self-promotion attempting to recruit viewers into gambling streams.
JOIN MY DISCORD HERE,persuasion,Pressuring users to join external gambling community.
DISCORD https://discord.gg/uKpvfuSmf,persuasion,Spamming external links to recruit users into gambling Discord server.
Puka made an antisemitic comment and bit a chic,toxic,Spreading unverified harmful claims about a player including antisemitism accusations
"I guess the world isnt allowed to tell jokes anymore, it may offend someone",toxic,Dismissive comment appearing to defend antisemitic remarks as just 'jokes'
StevieG gonna get a beat down if he wins again,toxic,Implies threat of physical violence toward streamer or other user
"ol dude was standin about 5 feet from the tracks, looked like a subway, and the train came speeding by and you could tell it was a skinny white kid 20ish tried to push him from behind",toxic,Describing violent attempted assault in graphic detail in chat
Cheating MF's,toxic,Aggressive profanity and accusation directed at players/others
Bout time numbnutz,toxic,Name-calling insult directed at streamer or others
Fck Karen Williams,toxic,Profane insult directed at a player
Ru. N.  Mthrfkrrrr,toxic,Aggressive profanity directed at players
Shit game,toxic,"Mildly negative/dismissive commentary, though relatively low toxicity."
If king dont score its rigged af,toxic,Promotes conspiracy thinking about rigged outcomes which can fuel unhealthy gambling attitudes.
Shorter than Webster,toxic,"Appears to be a mocking insult about someone's height, referencing the diminutive actor Emmanuel Lewis from Webster."
Fuuuuukwn bichhh,toxic,"Profane insult directed at someone, creating hostile chat environment"
Taylor rooks 🤤,toxic,Objectifying comment about a female sports reporter
I couldn't work with Taylor... Harassment lawsuit coming,toxic,"Joking about sexually harassing a female reporter, normalizes harassment"
That 🥷🏾 on Bundy Alert 🚨,toxic,"Reference to serial killer Ted Bundy as commentary, potentially threatening tone"
This is embarrassing,toxic,Mocking or dismissive comment about the stream/gameplay
Harris a punk,toxic,Insulting a player with derogatory language
Trash can,toxic,Insulting/dismissive comment directed at a player or situation
F uK Boston,toxic,"Profane insult directed at a team/fanbase, mild toxicity"
Good miss scrub,toxic,Calling someone a 'scrub' is a mild insult directed at a player or user.
This game getting sloppy toppy,toxic,Sexual innuendo/slang that is inappropriate for the context.
Throw deep. You pussy,toxic,Insulting language directed at a player or streamer.
PLaying a NIT H2H... I'm just a Junkkie,addiction_normalization,Self-identifying as a gambling 'junkie' normalizes addictive behavior.
